"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-170.545478,-14.28521,9.5,"Paracanthurus hepatus"
"gbif",-170.505099,-14.273254,22.2,"Paracanthurus hepatus"
"gbif",-162.426737,6.382461,9.9,"Paracanthurus hepatus"
"gbif",-162.426737,6.382461,9.6,"Paracanthurus hepatus"
"gbif",35.42359,-21.66001,NA,"Paracanthurus hepatus"
"gbif",35.38154,-21.99125,NA,"Paracanthurus hepatus"
"gbif",32.6867,-27.532,NA,"Paracanthurus hepatus"
"gbif",123.796692,24.436835,NA,"Paracanthurus hepatus"
"gbif",132.747261,-5.61126,NA,"Paracanthurus hepatus"
"gbif",32.6854,-27.5259,NA,"Paracanthurus hepatus"
"gbif",147.1076,-15.4843,NA,"Paracanthurus hepatus"
"gbif",119.556533,-8.4756,NA,"Paracanthurus hepatus"
"gbif",119.60195,-8.537167,NA,"Paracanthurus hepatus"
"gbif",131.6519,-4.53,NA,"Paracanthurus hepatus"
"gbif",131.9969,-5.3044,NA,"Paracanthurus hepatus"
"gbif",122.963611,24.4725,15,"Paracanthurus hepatus"
"gbif",45.27593,-12.87284,NA,"Paracanthurus hepatus"
"gbif",39.374882,-4.714922,NA,"Paracanthurus hepatus"
"gbif",55.2341,-21.01554,NA,"Paracanthurus hepatus"
"gbif",55.23405,-21.015,NA,"Paracanthurus hepatus"
"gbif",134.218838,6.9869,NA,"Paracanthurus hepatus"
"gbif",134.220942,7.134422,NA,"Paracanthurus hepatus"
"gbif",32.686,-27.5231,NA,"Paracanthurus hepatus"
"gbif",32.68732,-27.52085,NA,"Paracanthurus hepatus"
"gbif",55.21915,-21.05823,NA,"Paracanthurus hepatus"
"gbif",-179.056439,-17.408093,NA,"Paracanthurus hepatus"
"gbif",55.867957,-4.292379,NA,"Paracanthurus hepatus"
"gbif",145.565911,14.84366,22,"Paracanthurus hepatus"
"gbif",145.811546,18.149654,21.95,"Paracanthurus hepatus"
"gbif",145.260899,14.201462,11.6,"Paracanthurus hepatus"
"gbif",145.260899,14.201462,11.2,"Paracanthurus hepatus"
"gbif",145.785108,15.269845,21.2,"Paracanthurus hepatus"
"gbif",145.828885,15.261225,15.6,"Paracanthurus hepatus"
"gbif",145.80272,15.282955,15.4,"Paracanthurus hepatus"
"gbif",145.793544,15.275694,20,"Paracanthurus hepatus"
